page_url,drug_name,price,description,rating,num_of_reviews
www.proficosmetics.ru/catalog/3097035/,Сыворотка / T active 30 мл,2060,"Для чувствительной кожи с куперозом и гиперпигментацией. Сыворотка в форме легкого геля мгновенно тает на коже, создавая ощущение комфорта и наполненности, интенсивно увлажняет и способствует сохранению влаги. Оказывает противовоспалительное и антиоксидантное действие, укрепляет сосудистую стенку,...                             ",5.0,2
www.proficosmetics.ru/catalog/3124170/,Сыворотка укрепляющая сосуды / Matsesta Couperose 30 мл,1152,"Антикуперозная сыворотка устраняет патологию сосудистой стенки, уменьшает проницаемость и хрупкость капилляров, улучшают микроциркуляцию и водно-солевой обмен, оказывает детоксицирующее и противовоспалительное действие. Низкомолекулярная гиалуроновая кислота, витамины и ценные растительные масла...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/136661/,Сыворотка успокаивающая / Delicate Serum 50 мл,3060,"Нежирная питательная эмульсия содержит высокие концентрации основных активных ингредиентов линии DELICATE и является высокоэффективным лечебным средством для гиперчувствительной, раздраженной кожи с куперозом. Обладая выраженным противовоспалительным действием, быстро успокаивает и смягчает кожу,...                             ",5.0,4
www.proficosmetics.ru/catalog/1269546/,"Сыворотка с гиалуроновой кислотой 2,5% / Protocol Pure Serum Hyaluronic Acid 2,5% 30 мл",4875,"Hyaluronic Acid 2,5% Protocol PURE SERUM – мягкая сыворотка с уникальной запатентованной формулой гиалуроновой кислоты, сочетающей две молекулярные массы. Высокая концентрация гиалуроновой кислоты (2,5%) в сыворотке обеспечивает двойной эффект: легкую и быструю абсорбцию и внешнюю защиту. Идеально...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/30372/,Сыворотка / Serum VITAMIN E 30 мл,6265,"Высокоактивное и эффективное косметическое средство, предупреждающее старение и образование морщин и укрепляющее сосуды. Сыворотка содержит природные компоненты и витамин Е в высокой концентрации и обеспечивает интенсивный комплексный уход за кожей любого...                             ",5.0,3
www.proficosmetics.ru/catalog/81896/,Сыворотка азуленовая / LE PRESTIGE 30 мл,4180,"Интенсивная балансирующая сыворотка для устранения явлений гиперреактивности кожи. Рекомендуется в качестве восстанавливающего средства после пилингов и других агрессивных процедур. Экстракт цветков календулы, входящий в ее состав, содержит каротин, ксантины, ликопин, флавохром, фитонциды и...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/3073956/,Сыворотка для лица с золотом и витамином Е - эффект сияющей кожи 30 мл,2100,"Роскошная сыворотка для лица для питания и восстановления помогает бороться с негативным влиянием окружающей среды, увлажняет и успокаивает. Микрочастицы золота в сочетании с комплексом компонентов для придания сияния способствуют невероятно красивому цвету и здоровому виду кожи, активизируют...                             ",No rating,No reviews
www.proficosmetics.ru/catalog/1269545/,Сыворотка-активатор антивозрастная / Protocol Alfa+ Anti-age Booster 30 мл,9500,"Уникальный запатентованный комплекс Protocol Alfa+ создан для ухода при фотостарении (вызванном УФ-лучами) и хроностарении кожи. Высокоэффективная антиоксидантная формула, действует в 5 раз эффективней чем витамин С. Снижает количество свободных радикалов более чем на 50% и замедляет процессы...                             ",5.0,1
www.proficosmetics.ru/catalog/106331/,Сыворотка ревитализирующая с пептидами и черной икрой 5*2 мл,907,"Оказывает исключительное омолаживающее, увлажняющее, регенерирующее действие. Экстракт черной икры – не имеющий аналогов природный активатор восстановления энергетического потенциала и жизненных сил кожи с признаками возрастных изменений, всемирно известный своими уникальными омолаживающими...                             ",5.0,6
www.proficosmetics.ru/catalog/3073954/,Крем-сыворотка c лифтинг-эффектом для лица с золотом и пептидным комплексом 30 мл,2100,"Регенерирующая крем-сыворотка с коллоидным золотом и пептидным комплексом — изысканное средство «скорой помощи», которое совмещает в себе целых две функции - мощный эффект сыворотки и защитное действие крема. Средство глубоко увлажняет, омолаживает и подтягивает, а также превосходно питает,...                             ",5.0,3
www.proficosmetics.ru/catalog/3069491/,Сыворотка SOS - ампула со стволовыми клетками центеллы / CENTEL CALMING SHOT AMPOULE 30 мл,3255,"Все средства линии изготовлены по технологии Micro Derma-Shot, разработанной собственным научно-исследовательским институтом технологий Song-pa, которая обеспечивает проникновение активных ингредиентов в глубокие слои кожи без инъекций.   AMPLE:N SOS-АМПУЛА СО СТВОЛОВЫМИ КЛЕТКАМИ ЦЕНТЕЛЛЫ...                             ",No rating,No reviews
